Kód,Název,Cena bez DPH,Cena s DPH,Poznamka
19106,ČISTÍCÍ OLEJ NA PLEŤ 3 v 1 - 50 ml,277.69,336.00
1910,ČISTÍCÍ OLEJ NA PLEŤ 3 v 1 - vzorek 13 ml,65.29,79.00
19376,NEUTRÁLNÍ HYDROFILNÍ OLEJ - 50 ml,171.90,208.00
1937,NEUTRÁLNÍ HYDROFILNÍ OLEJ - vzorek 13 ml,38.84,47.00
19503,PLEŤOVÝ OLEJ RŮŽE-JASMÍN - 10 ml,166.94,202.00
19504,PLEŤOVÝ OLEJ RŮŽE-JASMÍN - 20 ml,294.21,356.00
20153,JOJOBOVÝ OLEJ LZS - 10 ml,76.03,92.00
20155,JOJOBOVÝ OLEJ LZS - 30 ml,115.70,140.00
20156,JOJOBOVÝ OLEJ LZS - 50 ml,161.98,196.00
20157,JOJOBOVÝ OLEJ LZS - 100 ml,276.03,334.00
19636,ROSA FEMINNE CREME (růžový krém) - 30 ml,401.65,486.00
19646,KRÉM NA DOBRÉ RÁNO - 30 ml,317.36,384.00
19692,LALIUM - MAST - 5 ml,91.74,111.00
19696,LALIUM - MAST - 50 ml,262.81,318.00
19697,LALIUM - MAST - 100 ml,462.81,560.00
19226,DENALI - HOLICÍ OLEJ - 50 ml,279.34,338.00
19227,DENALI - HOLICÍ OLEJ - 100 ml,485.95,588.00
1922,DENALI - HOLICÍ OLEJ - vzorek 13 ml,64.46,78.00
19217,FEMINNA - MYCÍ OLEJ - 100 ml,219.83,266.00
19219,FEMINNA - MYCÍ OLEJ - 500 ml,942.15,1 140.00
1921,FEMINNA - MYCÍ OLEJ - vzorek 13 ml,47.93,58.00
19207,ADÉL - SPRCHOVÝ  OLEJ - 100 ml,376.86,456.00
19208,ADÉL - SPRCHOVÝ  OLEJ - 200 ml,733.06,887.00
1920,ADÉL - SPRCHOVÝ  OLEJ - vzorek 13 ml,53.72,65.00
19357,YLANG-YLANG KOUPELOVÝ OLEJ - 100 ml,206.61,250.00
19358,YLANG-YLANG KOUPELOVÝ OLEJ - 200 ml,359.50,435.00
19716,MANUKOVÝ GEL - 50 ml,228.10,276.00
1971,MANUKOVÝ GEL - vzorek 13 ml,57.85,70.00
19027,MASÁŽNÍ OLEJ PROTI STRIÍM - 100 ml,338.02,409.00
19004,MASÁŽNÍ OLEJ NA HRÁZ - 20 ml,163.64,198.00
19084,KARITÉ MASÁŽNÍ OLEJ - 20 ml,150.41,182.00
19093,EUGENIA - MASÁŽNÍ OLEJ - 10 ml,140.50,170.00
19065,SANT - MASÁŽNÍ OLEJ - 30 ml,222.31,269.00
19036,ANGELS - MASÁŽNÍ OLEJ - 50 ml,210.74,255.00
19044,MOTÝL - MASÁŽNÍ OLEJ - 20 ml,158.68,192.00
19655,BALZÁM NA PRSA - 30 ml,204.13,247.00
19014,"JOJOBOVÝ OLEJ PŘIVÍTÁNÍ, PSP - 20 ml",211.57,256.00
19135,VĚTŘÍČEK - MASÁŽNÍ OLEJ - 30 ml,161.98,196.00
70007,SUCHÉ UBROUSKY PERLIČKA  malá (v igelitovém sáčku se zipem),42.15,51.00
19257,BERUŠKA - BALZÁM NA MYTÍ VLASŮ - 100 ml,333.06,403.00
1925,BERUŠKA - BALZÁM NA MYTÍ VLASŮ - vzorek 13 ml,56.20,68.00
20256,MANDLOVÝ OLEJ lisovaný za studena - 50 ml,90.08,109.00
20257,MANDLOVÝ OLEJ lisovaný za studena - 100 ml,142.15,172.00
20258,MANDLOVÝ OLEJ lisovaný za studena - 200 ml,238.84,289.00
20259,MANDLOVÝ OLEJ lisovaný za studena - 500 ml,533.88,646.00
20250,MANDLOVÝ OLEJ lisovaný za studena - 1000 ml,968.60,1 172.00
19126,DĚTSKÝ OLEJÍČEK S LEVANDULÍ - 50 ml,175.21,212.00
19127,DĚTSKÝ OLEJÍČEK S LEVANDULÍ - 100 ml,297.52,360.00
19128,DĚTSKÝ OLEJÍČEK S LEVANDULÍ - 200 ml,549.59,665.00
19676,KALISTO - KRÉM S KAROTENEM - 30 ml,342.15,414.00
19667,KALISTO - JOJOBOVÉ MLÉKO - 100 ml,350.41,424.00
19685,LESNÍ BALZÁM - 30 ml,185.12,224.00
19113,NOSNÍ OLEJ - 10 ml,137.19,166.00
19427,JASÁNEK - SPREJ NA ČIŠTĚNÍ VZDUCHU - 100 ml,152.07,184.00
19428,JASÁNEK - SPREJ NA ČIŠTĚNÍ VZDUCHU - 200 ml,249.59,302.00
19429,JASÁNEK - SPREJ NA ČIŠTĚNÍ VZDUCHU - 500 ml,452.07,547.00
19427S,JASÁNEK - SPREJ NA ČIŠTĚNÍ VZDUCHU - 100 ml sklo,167.77,203.00
30004,SADA K PORODU PRO MAMINKU A MIMINKO,529.75,641.00
30003,DÁRKOVÁ SADA PRO NOVOROZENĚ,411.57,498.00
30005,SADA PRO MAMINKU V ŠESTINEDĚLÍ,478.51,579.00
70001,MUŠLIČKA - 1 ks,152.07,184.00
70002,MUŠLIČKA + AEOLUS,352.07,426.00
70003,MUŠLIČKA + ÉTERICKÝ OLEJ CITRON,237.19,287.00
70004,MUŠLIČKA + ÉTERICKÝ OLEJ EUKALYPTUS ŠPANĚLSKÝ,222.31,269.00
70005,MUŠLIČKA + ÉTERICKÝ OLEJ GRAPEFRUIT,294.21,356.00
70006,MUŠLIČKA + ÉTERICKÝ OLEJ LEMONGRAS,222.31,269.00
70008,MUŠLIČKA + ÉTERICKÝ OLEJ POMERANČ,207.44,251.00
19941,"RŮŽE V JOJOBĚ, 99 % PSP - 3 ml",166.94,202.00
19942,"RŮŽE V JOJOBĚ, 99 % PSP - 5 ml",233.06,282.00
19943,"RŮŽE V JOJOBĚ, 99 % PSP - 10 ml",385.12,466.00
16713,AEOLUS - 10 ml,208.26,252.00
16733,RESCUE - 10 ml,182.64,221.00
16734,RESCUE - 20 ml,325.62,394.00
16702,VÁNOCE - 5 ml,118.18,143.00
16703,VÁNOCE - 10 ml,180.99,219.00
19323,POSILUJÍCÍ KOUPEL - 10 ml,114.05,138.00
11201,BERGAMOT SICILSKÝ - 2 ml,66.94,81.00
11202,BERGAMOT SICILSKÝ - 5 ml,108.26,131.00
11203,BERGAMOT SICILSKÝ - 10 ml,195.04,236.00
11204,BERGAMOT SICILSKÝ - 20 ml,378.51,458.00
11206,BERGAMOT SICILSKÝ - 50 ml,900.83,1 090.00
11322,BOROVICE KLEČ - 5 ml,105.79,128.00
11323,BOROVICE KLEČ - 10 ml,189.26,229.00
11321,BOROVICE KLEČ - vzorek 2 ml,66.12,80.00
11403,CEDROVÉ DŘEVO - 10 ml,66.12,80.00
11404,CEDROVÉ DŘEVO - 20 ml,117.36,142.00
11406,CEDROVÉ DŘEVO - 50 ml,270.25,327.00
11401,CEDROVÉ DŘEVO - vzorek 2 ml,42.98,52.00
11512,CITRON ITALSKÝ - 5 ml,57.02,69.00
11513,CITRON ITALSKÝ - 10 ml,85.12,103.00
11514,CITRON ITALSKÝ - 20 ml,152.07,184.00
11516,CITRON ITALSKÝ - 50 ml,343.80,416.00
11517,CITRON ITALSKÝ - 100 ml,631.40,764.00
11511,CITRON ITALSKÝ - vzorek 2 ml,47.11,57.00
11702,CYPŘIŠ - 5 ml,65.29,79.00
11703,CYPŘIŠ - 10 ml,104.96,127.00
11704,CYPŘIŠ - 20 ml,194.21,235.00
11706,CYPŘIŠ - 50 ml,447.11,541.00
11707,CYPŘIŠ - 100 ml,782.64,947.00
11701,CYPŘIŠ - vzorek 2 ml,48.76,59.00
11951,EUKALYPTUS CITRONOVONNÝ - 2 ml,45.45,55.00
11952,EUKALYPTUS CITRONOVONNÝ - 5 ml,52.89,64.00
11953,EUKALYPTUS CITRONOVONNÝ - 10 ml,76.86,93.00
11954,EUKALYPTUS CITRONOVONNÝ - 20 ml,134.71,163.00
11956,EUKALYPTUS CITRONOVONNÝ - 50 ml,295.04,357.00
11957,EUKALYPTUS CITRONOVONNÝ - 100 ml,545.45,660.00
11982,FENYKL SLADKÝ - 5 ml,59.50,72.00
11983,FENYKL SLADKÝ - 10 ml,90.91,110.00
11984,FENYKL SLADKÝ - 20 ml,165.29,200.00
11981,FENYKL SLADKÝ - vzorek 2 ml,47.93,58.00
12102,"GERANIUM ROSE, PSP - 5 ml",186.78,226.00
12103,"GERANIUM ROSE, PSP - 10 ml",338.02,409.00
12104,"GERANIUM ROSE, PSP - 20 ml",649.59,786.00
12106,"GERANIUM ROSE, PSP - 50 ml",1 469.42,1 778.00
12107,"GERANIUM ROSE, PSP - 100 ml",2 717.36,3 288.00
12101,"GERANIUM ROSE, PSP - vzorek 2 ml",102.48,124.00
12602,JALOVEC EXTRA - 5 ml,137.19,166.00
12603,JALOVEC EXTRA - 10 ml,238.84,289.00
12601,JALOVEC EXTRA - vzorek 2 ml,80.99,98.00
12813,JEDLE BĚLOKORÁ - 10 ml,95.87,116.00
12811,JEDLE BĚLOKORÁ - vzorek 2 ml,48.76,59.00
12902,KADIDLOVNÍK pilovitý (Olibanum) - 5 ml,162.81,197.00
12901,KADIDLOVNÍK pilovitý (Olibanum) - vzorek 2 ml,91.74,111.00
13002,KMÍN - 5 ml,63.64,77.00
13001,KMÍN - vzorek 2 ml,49.59,60.00
13213,LAVANDIN SUPER - 10 ml,106.61,129.00
13214,LAVANDIN SUPER - 20 ml,196.69,238.00
13211,LAVANDIN SUPER - vzorek 2 ml,50.41,61.00
13253,LEMONGRAS - 10 ml,78.51,95.00
13254,LEMONGRAS - 20 ml,137.19,166.00
13251,LEMONGRAS - vzorek 2 ml,45.45,55.00
13352,LEVANDULE MAILLETTE - 5 ml,96.69,117.00
13353,LEVANDULE MAILLETTE - 10 ml,175.21,212.00
13354,LEVANDULE MAILLETTE - 20 ml,328.10,397.00
13358,LEVANDULE MAILLETTE - vzorek 2 ml,62.81,76.00
13362,"LEVANDULE MAILLETTE, PSP - 5 ml",114.88,139.00
13363,"LEVANDULE MAILLETTE, PSP - 10 ml",204.13,247.00
13364,"LEVANDULE MAILLETTE, PSP - 20 ml",385.95,467.00
13366,"LEVANDULE MAILLETTE, PSP - 50 ml",867.77,1 050.00
13367,"LEVANDULE MAILLETTE, PSP - 100 ml",1 604.96,1 942.00
13361,"LEVANDULE MAILLETTE, PSP - vzorek 2 ml",69.42,84.00
13502,MANDARINKA ČERVENÁ - 5 ml,78.51,95.00
13503,MANDARINKA ČERVENÁ - 10 ml,132.23,160.00
13504,MANDARINKA ČERVENÁ - 20 ml,248.76,301.00
13501,MANDARINKA ČERVENÁ - vzorek 2 ml,55.37,67.00
13602,MANUKA - 5 ml,290.91,352.00
13603,MANUKA - 10 ml,543.80,658.00
13604,MANUKA - 20 ml,1 056.20,1 278.00
13606,MANUKA - 50 ml,2 416.53,2 924.00
13607,MANUKA - 100 ml,4 470.25,5 409.00
13601,MANUKA - vzorek 2 ml,145.45,176.00
13902,MÁTA PEPRNÁ - 5 ml,82.64,100.00
13903,MÁTA PEPRNÁ - 10 ml,139.67,169.00
13904,MÁTA PEPRNÁ - 20 ml,265.29,321.00
13906,MÁTA PEPRNÁ - 50 ml,631.40,764.00
13907,MÁTA PEPRNÁ - 100 ml,1 167.77,1 413.00
13901,MÁTA PEPRNÁ - vzorek 2 ml,57.02,69.00
14002,MATEŘÍDOUŠKA - 5 ml,95.04,115.00
14003,MATEŘÍDOUŠKA - 10 ml,166.12,201.00
14004,MATEŘÍDOUŠKA - 20 ml,319.01,386.00
14006,MATEŘÍDOUŠKA - 50 ml,749.59,907.00
14007,MATEŘÍDOUŠKA - 100 ml,1 387.60,1 679.00
14001,MATEŘÍDOUŠKA - vzorek 2 ml,61.98,75.00
14602,PAČULI - 5 ml,68.60,83.00
14603,PAČULI - 10 ml,110.74,134.00
14604,PAČULI - 20 ml,204.96,248.00
14606,PAČULI - 50 ml,480.99,582.00
14601,PAČULI - vzorek 2 ml,51.24,62.00
14703,PETITGRAIN (POMERANČOVÉ LISTÍ) - 10 ml,110.74,134.00
14701,PETITGRAIN (POMERANČOVÉ LISTÍ) - vzorek 2 ml,51.24,62.00
14803,POMERANČ SLADKÝ - 10 ml,63.64,77.00
14804,POMERANČ SLADKÝ - 20 ml,111.57,135.00
14801,POMERANČ SLADKÝ - vzorek 2 ml,42.98,52.00
15112,ROZMARÝN - 5 ml,71.07,86.00
15113,ROZMARÝN - 10 ml,114.05,138.00
15114,ROZMARÝN - 20 ml,209.09,253.00
15116,ROZMARÝN - 50 ml,489.26,592.00
15117,ROZMARÝN - 100 ml,904.96,1 095.00
15111,ROZMARÝN - vzorek 2 ml,52.89,64.00
15303,RŮŽOVÁ PALMA - 10 ml,100.00,121.00
15301,RŮŽOVÁ PALMA - vzorek 2 ml,47.11,57.00
15701,"SKOŘICE, KŮRA - 2 ml",92.56,112.00
15702,"SKOŘICE, KŮRA - 5 ml",180.17,218.00
15703,"SKOŘICE, KŮRA - 10 ml",309.09,374.00
15704,"SKOŘICE, KŮRA - 20 ml",565.29,684.00
15706,"SKOŘICE, KŮRA - 50 ml",1 271.90,1 539.00
15707,"SKOŘICE, KŮRA - 100 ml",2 352.89,2 847.00
15751,"SMRK ZTEPILÝ, jehličí, PSP - 2 ml",75.21,91.00
15752,"SMRK ZTEPILÝ, jehličí, PSP - 5 ml",140.50,170.00
15753,"SMRK ZTEPILÝ, jehličí, PSP - 10 ml",233.06,282.00
15754,"SMRK ZTEPILÝ, jehličí, PSP - 20 ml",442.98,536.00
15756,"SMRK ZTEPILÝ, jehličí, PSP - 50 ml",1 004.13,1 215.00
15757,"SMRK ZTEPILÝ, jehličí, PSP - 100 ml",1 857.85,2 248.00
15902,ŠALVĚJ LÉKAŘSKÁ - 5 ml,75.21,91.00
15901,ŠALVĚJ LÉKAŘSKÁ - vzorek 2 ml,54.55,66.00
16002,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 5 ml",204.96,248.00
16003,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 10 ml",388.43,470.00
16004,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 20 ml",719.01,870.00
16006,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 50 ml",1 653.72,2 001.00
16007,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 100 ml",2 894.21,3 502.00
16001,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - vzorek 2 ml",104.13,126.00
16051,TANGERINKA - ÉTERICKÝ OLEJ - 2 ml,44.63,54.00
16053,TANGERINKA - ÉTERICKÝ OLEJ - 10 ml,75.21,91.00
11801,TEA TREE (ČAJOVNÍK) - 2 ml,48.76,59.00
11803,TEA TREE (ČAJOVNÍK) - 10 ml,94.21,114.00
11804,TEA TREE (ČAJOVNÍK) - 20 ml,171.07,207.00
11805,TEA TREE (ČAJOVNÍK) - 50 ml,390.91,473.00
11807,TEA TREE (ČAJOVNÍK) - 100 ml,723.14,875.00
16501,YLANG-YLANG EXTRA - 2 ml,126.45,153.00
16502,YLANG-YLANG EXTRA - 5 ml,247.11,299.00
16503,YLANG-YLANG EXTRA - 10 ml,457.02,553.00
20207,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 100 ml,89.26,108.00
20208,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 200 ml,150.41,182.00
20209,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 500 ml,335.54,406.00
20406,OLEJ Z PŠENIČNÝCH KLÍČKŮ LISOVANÝ ZA STUDENA - 50 ml,119.83,145.00
20757,OLEJ Z PECIČEK VINNÝCH HROZNŮ - 100 ml,123.14,149.00
20457,"OLIVOVÝ OLEJ  LZS, PSP - 100 ml",96.69,117.00
20458,"OLIVOVÝ OLEJ  LZS, PSP - 200 ml",155.37,188.00
