Model,Barva,5G,4G LTE,VoLTE/Wi-Fi,Dual SIM,eSIM,Cena bez DPH,Cena s DPH
TCL TAB 10 4G Dark Gray,černá,,✓,,,,3534.71,4277
Alcatel 1 2021 Volcano Black,černá,,✓,✓,✓,,1303.31,1577
Alcatel 2019G Metallic Gray,metalická šedá,,,,,,724.79,877
Alcatel 1068 Black,černá,,,,✓,,394.21,477
Apple iPhone 14 Pro Max 1 TB Space Black,vesmírně černý,✓,✓,✓,✓,✓,44195.87,53477
Apple iPhone 14 Pro 1 TB Space Black,vesmírně černý,✓,✓,✓,✓,✓,41303.31,49977
Apple iPad Pro 12.9 2022 512 GB Space Grey,vesmírně šedý,✓,✓,,✓,✓,40476.86,48977
Apple iPhone 14 Pro Max 512 GB,"temně fialový, vesmírně černý",✓,✓,✓,✓,✓,38823.97,46977
Apple iPhone 14 Pro 512 GB,"stříbrný, vesmírně černý",✓,✓,✓,✓,✓,35931.4,43477
Apple iPad Pro 12.9 2022 256 GB Space Grey,vesmírně šedý,✓,✓,,✓,✓,35518.18,42977
Apple iPhone 14 Pro Max 256 GB Silver,stříbrný,✓,✓,✓,✓,✓,33452.07,40477
Apple iPhone 14 Plus 512 GB Midnight,temně inkoustový,✓,✓,✓,✓,✓,33038.84,39977
Apple iPhone 14 Pro 256 GB,"temně fialový, zlatý, vesmírně černý",✓,✓,✓,✓,✓,30559.5,36977
Apple iPhone 14 Pro Max 128 GB,"temně fialový, vesmírně černý",✓,✓,✓,✓,✓,30559.5,36977
Apple iPhone 14 512 GB Midnight,temně inkoustový,✓,✓,✓,✓,✓,30146.28,36477
Apple iPad Pro 11 2022 256 GB Space Grey,vesmírně šedý,✓,✓,,✓,✓,27666.94,33477
Apple iPhone 14 Plus 256 GB,"modrý, temně inkoustový",✓,✓,✓,✓,✓,27666.94,33477
Apple iPhone 14 Pro 128 GB,"temně fialový, stříbrný, vesmírně černý",✓,✓,✓,✓,✓,27666.94,33477
Apple iPad Pro 11 2022 128 GB Space Grey,vesmírně šedý,✓,✓,,✓,✓,25187.6,30477
Apple iPhone 14 256 GB,"modrý, temně inkoustový, hvězdně bílý",✓,✓,✓,✓,✓,24774.38,29977
Apple iPhone 14 Plus 128 GB,"(PRODUCT) RED, temně inkoustový, fialový",✓,✓,✓,✓,✓,24774.38,29977
Apple iPhone 14 128 GB,"(PRODUCT) RED, modrý, temně inkoustový",✓,✓,✓,✓,✓,21984.3,26601
Apple iPad 10.9 2022 256 GB Silver,stříbrný,✓,✓,,✓,✓,19402.48,23477
Apple iPhone 13 128 GB Midnight,temně inkoustový,✓,✓,✓,✓,✓,18989.26,22977
Apple iPad mini 2021 64 GB Space Grey,vesmírně šedý,✓,✓,,✓,✓,16923.14,20477
Apple iPhone 13 mini 128 GB Midnight,temně inkoustový,✓,✓,✓,✓,✓,16509.92,19977
Apple iPhone SE 256 GB 2022 Midnight,temně inkoustový,✓,✓,✓,✓,✓,15848.76,19177
Apple iPad 10.9 2022 64 GB Blue,modrý,✓,✓,,✓,✓,15683.47,18977
Apple iPhone SE 128 GB 2022,"(PRODUCT) RED, temně inkoustový",✓,✓,✓,✓,✓,12956.2,15677
Apple iPad 10.2 2021 64 GB Space Grey,vesmírně šedý,,✓,,✓,✓,11964.46,14477
Apple iPhone SE 64 GB 2022,"(PRODUCT) RED, temně inkoustový,  
hvězdně bílý",✓,✓,✓,✓,✓,11551.24,13977
Apple iPhone 11 64 GB bez příslušenství Black NOVINKA,černý,,✓,✓,✓,✓,10724.79,12977
Apple iPhone X 64 GB - REFURBISHED Space Gray,vesmírně šedý,,✓,✓,,,9071.9,10977
CAT B40 Black,černá,,✓,✓,✓,,2047.11,2477
HONOR 70 5G,"zelená, černá",✓,✓,✓,✓,,11075.21,13401
HONOR 50 5G Midnight Black,černá,✓,✓,✓,✓,,9898.35,11977
HONOR Magic4 Lite 5G,"černá, modrá",✓,✓,✓,✓,,6116.53,7401
HONOR X8 5G,"černá, modrá",✓,✓,✓,✓,,5323.14,6441
HONOR X7,"černá, stříbrná",,✓,✓,✓,,3617.36,4377
Huawei nova Y70,"modrá, černá",,✓,✓,✓,,3700,4477
Lenovo TAB M10 Plus 4 GB + 64 GB LTE Iron Grey,šedá,,✓,,,,4691.74,5677
Motorola Moto G62 5G Midnight Grey,tmavě šedá,✓,✓,✓,✓,,4113.22,4977
Nokia G60 5G Pure Black,černá,✓,✓,✓,✓,✓,7108.26,8601
Nokia G11 Charcoal,šedá,,✓,✓,✓,,3121.49,3777
Nokia 225 4G Black,černá,,✓,✓,✓,,1055.37,1277
OPPO Reno7 Lite 5G Cosmic Black,kosmická černá,✓,✓,✓,✓,,7419.01,8977
OPPO Reno5 5G Starry Black,černá,✓,✓,✓,✓,,7005.79,8477
realme GT 2 Steel Black,černá,✓,✓,✓,✓,,10724.79,12977
realme 9 5G Meteor Black,černá,✓,✓,✓,✓,,5352.89,6477
realme 8 5G Supersonic Black,černá,✓,✓,✓,✓,,4133.06,5001
realme C35 Glowing Black,černá,,✓,✓,✓,,4113.22,4977
realme C31 Green,zelená,,✓,✓,✓,,3286.78,3977
Samsung Galaxy Z Fold4 512 GB,"šedozelená, černá",✓,✓,✓,✓,✓,39650.41,47977
Samsung Galaxy Z Fold4 256 GB Phantom Black,černá,✓,✓,✓,✓,✓,37171.07,44977
Samsung Galaxy Z Flip4 256 GB Graphite,šedá,✓,✓,✓,✓,✓,23947.93,28977
Samsung Galaxy Z Flip4 128 GB,"šedá, zlatá",✓,✓,✓,✓,✓,22480.17,27201
Samsung Galaxy S22 128 GB Phantom Black,černá,✓,✓,✓,✓,✓,16509.92,19977
Samsung Galaxy S21 FE_5G,"šedá, bílá",✓,✓,✓,✓,,14050.41,17001
Samsung Galaxy A53 5G,"černá, bílá",✓,✓,✓,✓,,8100,9801
Samsung Galaxy A33 5G,"černá, modrá",✓,✓,✓,✓,,6116.53,7401
Samsung Galaxy Xcover5 Black,černá,,✓,✓,✓,,5766.12,6977
Samsung Galaxy A23 5G,"černá, bílá",✓,✓,✓,✓,,5719.83,6921
Samsung Galaxy Tab A8 LTE Gray,šedá,,✓,,,,4939.67,5977
Samsung Galaxy A13 5G,"černá, modrá",✓,✓,✓,✓,,4443.8,5377
Samsung Galaxy A13 64 GB,"černá, modrá",,✓,✓,✓,,3865.29,4677
Samsung Galaxy A04s,"černá, bílá",,✓,✓,✓,,3452.07,4177
Samsung Galaxy A13 32 GB Black,černá,,✓,✓,✓,,3452.07,4177
Samsung Galaxy Tab A7 Lite Wi-Fi Gray,šedá,,,,,,2976.03,3601
Sony Xperia 10 IV 5G Black,černá,✓,✓,✓,✓,✓,10311.57,12477
vivo X80 Lite 5G,"černá, zlatá",✓,✓,✓,✓,,8100,9801
vivo Y76 5G Midnight Space,černá,✓,✓,✓,✓,,5766.12,6977
vivo Y55 5G,"modrá, černá",✓,✓,✓,✓,,4939.67,5977
Xiaomi 12T Pro 5G Black,černá,✓,✓,✓,✓,✓,15683.47,18977
Xiaomi 12T 5G,"černá, modrá",✓,✓,✓,✓,,12066.94,14601
Xiaomi 11T Pro 5G Meteorite Gray,šedá,✓,✓,✓,✓,,10724.79,12977
Xiaomi 12 Lite 5G Black,černá,✓,✓,✓,✓,,9071.9,10977
Xiaomi Redmi Note 11 Pro 5G,"modrá, šedá",✓,✓,✓,✓,,7108.26,8601
Xiaomi Redmi Note 11S 5G,"černá, modrá",✓,✓,✓,✓,,5124.79,6201
Xiaomi Redmi 10 5G,"zelená, šedá, stříbrná",✓,✓,✓,✓,,4926.45,5961
Xiaomi Redmi Note 11,"šedá, světle modrá, modrá",,✓,✓,✓,,4526.45,5477
Xiaomi Redmi 10 2022,"šedá, bílá, modrá",,✓,✓,✓,,3865.29,4677
Xiaomi Redmi 9AT,"světle modrá, žulově šedá",,✓,✓,✓,,2460.33,2977
Vodafone GigaCube 5G White,bílá,✓,✓,,,,5766.12,6977
Huawei WTTx modem,bílá,,✓,,,,5123.97,6200
Huawei WTTx modem B2368-66,bílá,,✓,,,,5123.97,6200
Vodafone Automanažer,bílá,,,,,,3286.78,3977
ZTE MF255V,bílá,,✓,,,,2295.04,2777
Zyxel VMG8623-T50B modem,bílá,,,,,,1586.78,1920
ZTE MF255V otestovaný,bílá,,✓,,,,1138.02,1377
Comtrend ADSL/VDSL modem,bílá,,,,,,991.74,1200
Vodafone K5161z,bílá,,✓,,,,827.27,1001
Vodafone Mobile Wi-Fi R219t,bílá,,✓,,,,827.27,1001
Lenovo IdeaPad Gaming 3 15ACH6,černá,,,,,,15042.15,18201
Lenovo IdeaPad Flex 5 14ALC7,šedá,,,,,,13058.68,15801
Lenovo V15 IML,šedá,,,,,,7934.71,9601
Samsung Galaxy Watch5 Pro 45mm LTE Black Titanium,černá,,✓,✓,,✓,10724.79,12977
Samsung Galaxy Watch5 44mm LTE Graphite,grafitová,,✓,✓,,✓,7934.71,9601
Samsung Galaxy Watch4 Classic 46mm LTE Black,černá,,✓,✓,,✓,7419.01,8977
Samsung Galaxy Watch5 40mm LTE Pink Gold,růžovo-zlatá,,✓,✓,,✓,7005.79,8477
Garmin vívoactive4S RoseGold - white band,zlatá,,,,,,6344.63,7677
Apple AirPods Pro with Magsafe Case (2021),bílá,,,,,,6014.05,7277
Apple AirPods Pro 2. generace (2022),bílá,,,,,,6014.05,7277
Vodafone eDohled Modul Maxi 2,šedá,,,,,,4926.45,5961
Apple AirPods 3. generace (2021),bílá,,,,,,4443.8,5377
Apple AirPods (2019) s drátovým nabíjením,bílá,,,,,,4113.22,4977
Xiaomi Mi Robot Vacuum-Mop 2 - robotický vysavač,bílá,,,,,,4113.22,4977
Xiaomi Watch S1 GL Black,černá,,,,,,3967.77,4801
Vodafone eDohled modul Standard USB,šedá,,,,,,3352.89,4057
Vodafone eDohled modul Mini USB 3,šedá,,,,,,2480.17,3001
